,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,ENSGALG00000046534.2,ENSGALG00000047342.1,ZNF804A,AOX2,PRMT8,RET,LYSMD2,ENSGALG00000051980.1,ENSGALG00000007028.6,FGL1,CMPK1,ZNF644,ENSGALG00000040770.2,ENSGALG00000051980.1
1,SH3GL2,ENSGALG00000032066.2,GNAO1,ENSGALG00000052475.1,STMN3,ENSGALG00000033089.2,EGF,SLC43A3,SLCO4A1,AOX2,TUBA3E,CCNI,SLC4A10,PRIMPOL
2,CDHR1,MARCH1,ONECUT1,GRIN3A,TSHZ1,ENSGALG00000041948.3,CAT,TP53INP1,GAD1,ENSGALG00000052475.1,GAS2L3,ENSGALG00000047410.1,MYH9,CTNNAL1
3,ENSGALG00000047629.1,KIT,ENSGALG00000054631.1,CRISPLD2,RANBP3L,SNTB1,TRIM67,ENSGALG00000052519.1,SNTB1,GRIN3A,PARPBP,COBLL1,TOX2,ENSGALG00000053826.1
4,ENSGALG00000048875.1,ENSGALG00000031869.3,DCX,ANKFN1,ENSGALG00000047287.1,CRACDL,ENSGALG00000046534.2,MTHFR,ENSGALG00000036226.3,ENSGALG00000038021.3,OTX2,NCAM1,SLCO4A1,ENSGALG00000046982.1
5,IGFBP2,PTPRM,ENSGALG00000054091.1,ENSGALG00000046982.1,SLC4A10,TFAP2E,KITLG,THRB,GAD2,ANKFN1,MYCN,GNB5,KCNK10,ENSGALG00000048828.1
6,KITLG,ENSGALG00000047357.1,GDPD5,LAMB2,TSPAN18,STMN3,ADTRP,BTBD8,PLXNC1,CRISPLD2,KPNA2,HS6ST1,KHDRBS2,NASP
7,ABCA4,RASGRF2,GRK3,RFTN1,CRACDL,PLEKHD1,CDHR1,PARPBP,EPHA5,INPP4A,CCNI,THRB,NOS1AP,POLQ
8,DCLK1,INPP5B,SELENOI,ENSGALG00000010316.6,ENSGALG00000051147.1,PLXNC1,AHSA2,KIF24,GRIA4,FGFRL1,PTTG2,CDC42BPB,PRMT8,CDH2
9,NTNG2,EGFLAM,ENSGALG00000048913.1,STC2,LHFPL6,DPP6,NCOA4,NTM,RANBP3L,LAMB2,NDE1,ENSGALG00000034050.3,ENSGALG00000046982.1,ENSGALG00000010316.6
10,ENSGALG00000052940.1,ARHGAP24,PHOSPHO1,ABLIM1,DPP6,CACNG2,SMAP1,SMAD2Z,ZNRF2,STON2,NR3C2,UBL3,ENSGALG00000011528.7,PON1
11,INPP5B,ENSGALG00000039659.2,SMC3,MOV10L1,ENSGALG00000042533.2,RASA3,CYRIB,GDPD5,GRIN2A,ENSGALG00000046982.1,SPDL1,ZBTB18,ABLIM1,ALDH1A3
12,EGF,KATNIP,IGFBP5,GAS2L3,KHDRBS2,ENSGALG00000007118.6,ENSGALG00000035217.2,MSMO1,TSPAN18,COLEC12,EVL,PLEKHG5,PDE4D,ANK3
13,CYRIB,ENSGALG00000054096.1,ENSGALG00000034050.3,SMOC1,RASA3,NETO1,BCL2L10,TUBA3E,RET,VEPH1,BUB1,ENSGALG00000030561.2,MAF,RELT
14,MCF2L2,GREB1L,NDFIP1,FGL1,CDYL2,TFAP2C,DAB1,NCOA1,SEMA6D,USH1C,MEIS2,ENSGALG00000051051.1,MFAP3L,NCAPH2
15,ENSGALG00000051221.1,ANKRD33B,UBE2E3,MSRB3,B3GAT1,SYBU,CCNG1,RASGRF2,PRMT8,ENSGALG00000043329.2,RELT,ENSGALG00000025996.4,ENSGALG00000048280.1,SMOC1
16,CDH18,EPN2,OLFM1,ENSGALG00000038021.3,SLCO4A1,ENSGALG00000007028.6,ENSGALG00000052940.1,DPH1,TSHZ1,NASP,ENSGALG00000048828.1,NTM,DPP6,ZNF804A
17,TRPM3,AIF1L,SEMA7A,VEPH1,MYH9,TSHZ1,RBM38,MAP4K4,SLC4A5,ABLIM1,GNB5,SSBP3,SIRT6,CDC14A
18,BCL2L10,ENSGALG00000007268.6,LMO3,INPP4A,SYBU,PDE4D,FGD4,PLXNB2,NETO1,RFTN1,SETBP1,ENSGALG00000005291.6,NKAIN2,RPL4
19,ENSGALG00000054096.1,RASSF8,APP,COLEC12,ENSGALG00000036226.3,MEX3A,MTHFR,CDC42BPB,GRIA3,PARPBP,SLX4IP,ETV1,KIF26A,MYCN
20,ZNF488,EML4,REV1,LHFPL6,ENSGALG00000004394.6,TSPAN18,ENSGALG00000047629.1,TIA1,PROX1,LHFPL6,POLQ,MEIS2,UBE2T,STRN
21,MTHFR,EPHA3,LTBP2,NECAB3,NGF,KCNK10,NDUFA10,NCAPH2,SYBU,MOV10L1,TSPO,UST,RIMBP2,OTX2
22,RS1,RGCC,ST6GALNAC5,USH1C,PDE4D,ENSGALG00000047287.1,PRPSAP2,RSRP1,CACNG2,CGNL1,CENPF,OTX2,PARN,TBX2
23,ENSGALG00000054474.1,EML5,MTSS2,STOX2,ENSGALG00000050213.1,FHOD3,NEK6,SETBP1,STMN3,ENSGALG00000010316.6,CCSAP,ENSGALG00000049348.1,NDUFB7,TOX3
24,ENSGALG00000047870.1,PLEKHA5,NFIC,ELMO1,ZNRF2,ENSGALG00000051147.1,ENSGALG00000023546.4,SEPTIN8,MSRA,PRIMPOL,HSD17B12,HSD17B12,SEMA6D,PREX1
25,EAPP,GRIK1,OSBPL3,HSP90B1,FREM1,ZNRF2,TDP1,SAMD7,TFAP2E,STOX2,SPOCK1,ENSGALG00000049260.1,NUP58,ENSGALG00000048916.1
26,EGFLAM,LMO4,TOX,ENSGALG00000034584.3,ENSGALG00000050133.1,ENSGALG00000036226.3,PSIP1,EPN2,SLC4A10,ENSGALG00000053238.1,IGF2BP2,GDPD5,CDH11,TMEM71
27,MARCH1,CDKL5,ENSGALG00000047591.1,ENSGALG00000046828.1,CACNG2,PROX1,TRPM3,IMPG1,CRACDL,PREX1,ZBTB18,CPE,USH1C,PJVK
28,ABLIM3,ZNF488,ATAD2,SAP130,ENSGALG00000048936.1,TNR,PIGK,PPL,KHDRBS2,STC2,SLC35E2B,CORO2B,LZTFL1,ACTB
29,ENSGALG00000047342.1,KIF25,NFIB,CNTLN,GNAO1,SLC4A10,EPRS,TMEM229B,LMO3,VGLL4,NTM,NCOA1,TRAK1,TRABD2B
