,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
PANX2,PANX2,PANX2,PANX2,0.0217,-0.046684980392456055,,,,,,,,,,,,,,,,False,0.43305783181244356,0
INTS4,INTS4,INTS4,INTS4,-0.0018,-0.6020709276199341,,,,,,,,,,,,,,,,False,0.1477093889912913,0
AHCYL2,AHCYL2,AHCYL2,AHCYL2,0.0572,0.49274498224258423,0.09479111947663953,0.21881487678257078,0.25932935843880006,10.08285174613964,2.0775872102379798,0.10385055840015411,0.08660098165273666,0.18835377326772282,0.0,0.0,0.43073601278971446,0.37916591558392226,0.28200598457699705,1.0185016358798575,3.266557784156799,True,0.2809583068008112,0
PAK1,PAK1,PAK1,PAK1,0.0971,0.4950498342514038,0.10157737955841437,0.2872762413910693,0.278844694655066,8.680591702353693,1.9685096803307536,0.1052914410829544,0.08705154806375504,0.20140359768283786,0.0,0.0,0.3817658450345145,0.34363901249444156,0.25809423958657884,1.1046132449684967,2.343476204413204,True,0.45919702791260125,0
GDPD4,GDPD4,GDPD4,GDPD4,0.0158,0.18542522192001343,0.03483194744089956,0.17966995896459576,0.22471506318538273,7.508027744840437,2.4519407749176025,0.0757502019405365,0.030893975868821144,0.17879260140327255,0.0,0.0,0.11706831060360279,0.2073529933013025,0.09338765794909078,1.2309930353347722,2.2699409284245617,True,0.40363871224464737,0
TSKU,TSKU,TSKU,TSKU,-0.0224,-0.06970369815826416,,,,,,,,,,,,,,,,False,0.36458399305288713,0
THAP12,THAP12,THAP12,THAP12,-0.0254,-0.17162811756134033,,,,,,,,,,,,,,,,False,0.07358109879572651,0
RNF121,RNF121,RNF121,RNF121,-0.0622,-0.07605528831481934,,,,,,,,,,,,,,,,False,0.0,0
APP,APP,APP,APP,-0.0633,0.17316287755966187,1.174672688600997,0.5105314928818474,0.3006252925789421,13.001210257038741,0.3281748926639557,0.5598892569541931,0.8061179518699646,0.24685273444768238,0.0,0.0,0.44575130808199703,1.918317946474253,2.887552697083046,0.8677481125401604,2.685867750137099,True,0.6417444891687207,17
HIKESHI,HIKESHI,HIKESHI,HIKESHI,0.0225,-0.12021517753601074,,,,,,,,,,,,,,,,False,0.0,0
DHTKD1,DHTKD1,DHTKD1,DHTKD1,-0.0014,-0.11015880107879639,,,,,,,,,,,,,,,,False,0.1605420025223735,0
GTSE1,GTSE1,GTSE1,GTSE1,0.2732,0.7010385990142822,3.165589612911018,13.719880656107977,0.8940292817639699,3.59569177139383,0.031593517530709506,0.047916051000356674,0.7166132926940918,0.28717236305316,0.0,0.0,0.4731211269639741,0.13620941898427757,1.7944911213768324,0.4790454116855896,1.0381597772906017,True,0.5303359210083282,20
MAP4K4,MAP4K4,MAP4K4,MAP4K4,-0.14,0.6131628453731537,0.43100998042491784,0.14169076040238315,0.15677559757121828,19.964497785064836,1.7316748281319936,0.9831725358963013,0.7286229729652405,0.39816588928810703,0.0,0.0,0.44755226754395994,2.8576307499341933,1.772911522312668,0.3308125968780366,5.491878225651932,True,0.8931093921730983,24
RBM17,RBM17,RBM17,RBM17,0.0362,-0.05719876289367676,,,,,,,,,,,,,,,,False,0.1339032369321788,0
MKLN1,MKLN1,MKLN1,MKLN1,0.001,-0.9703935384750366,,,,,,,,,,,,,,,,False,0.14828766524372075,0
PLXNA4,PLXNA4,PLXNA4,PLXNA4,-0.0487,-0.15298044681549072,,,,,,,,,,,,,,,,False,0.510253475307804,0
SEMA3A,SEMA3A,SEMA3A,SEMA3A,-0.0668,0.6890318393707275,0.31921532234688377,0.13088185972354582,0.5330715524437177,7.709868851577398,2.6306742095947264,0.8227092623710632,0.14542272686958313,0.19896913713361647,0.0,0.0,0.4479905581588128,2.9759227769165033,0.5127003153079543,1.3292291945370651,1.3525925750346672,True,0.8284249604022269,0
SEMA3D,SEMA3D,SEMA3D,SEMA3D,0.006,-0.634211540222168,,,,,,,,,,,,,,,,False,0.25892790316977976,0
BEND7,BEND7,BEND7,BEND7,-0.0016,-0.2989109754562378,,,,,,,,,,,,,,,,False,0.19483895240120552,0
TAF3,TAF3,TAF3,TAF3,-0.0117,-0.49549365043640137,,,,,,,,,,,,,,,,False,0.22528930592572732,0
CPNE8,CPNE8,CPNE8,CPNE8,0.0427,-0.03246426582336426,,,,,,,,,,,,,,,,False,0.36533707872677257,0
DUSP12,DUSP12,DUSP12,DUSP12,-0.0309,-0.025781631469726562,,,,,,,,,,,,,,,,False,0.08096352959475772,0
